index,node_i,node_j,voltage,circuits,dc,x,r,capacity
LTGES1207a,ES00644,ES01151,400,4,f,2.1525,0.2625,7149.905733644326
LTGES1207b,ES00644,ES01151,400,4,f,2.1525,0.2625,7149.905733644326
LTGES1207c,ES00644,ES01151,400,4,f,2.1525,0.2625,7149.905733644326
LTGES1207d,ES00644,ES01151,400,4,f,2.1525,0.2625,7149.905733644326
LTGES1208a,ES00643,ES01150,220,4,f,2.63375,0.525,1966.2240767521894
LTGES1208b,ES00643,ES01150,220,4,f,2.63375,0.525,1966.2240767521894
LTGES1208c,ES00643,ES01150,220,4,f,2.63375,0.525,1966.2240767521894
LTGES1208d,ES00643,ES01150,220,4,f,2.63375,0.525,1966.2240767521894
LTGES1209a,ES00398,ES01150,220,2,f,0.89096,0.17759999999999998,983.1120383760947
LTGES1209b,ES00398,ES01150,220,2,f,0.89096,0.17759999999999998,983.1120383760947
LTGES1210a,ES01151,ES01149,400,2,f,21.51024,2.6231999999999998,3574.952866822163
LTGES1210b,ES01151,ES01149,400,2,f,21.51024,2.6231999999999998,3574.952866822163
LTGES1211,ES00195,ES00953,220,1,f,20.257299999999997,4.037999999999999,491.55601918804734
LTGES1212a,ES00505,ES00195,220,2,f,1.58326,0.3156,983.1120383760947
LTGES1212b,ES00505,ES00195,220,2,f,1.58326,0.3156,983.1120383760947
LTGES1213,ES01147,ES00868,220,1,f,23.98669,4.7814,491.55601918804734
LTGES1214a,ES00957,ES01004,400,2,f,14.47464,1.7652,3574.952866822163
LTGES1214b,ES00957,ES01004,400,2,f,14.47464,1.7652,3574.952866822163
LTGES1215,ES00424,ES01153,220,1,f,2.8143499999999997,0.5609999999999999,491.55601918804734
LTGES1216a,ES01154,ES00645,220,2,f,1.26721,0.2526,983.1120383760947
LTGES1216b,ES01154,ES00645,220,2,f,1.26721,0.2526,983.1120383760947
LTGES1217,ES00036,ES00647,400,1,f,5.365259999999999,0.6543,1787.4764334110814
LTGES1218,ES00645,ES01155,220,1,f,0.51471,0.1026,491.55601918804734
LTGES1219,ES01069,ES00981,225,1,f,5.31867,1.0602,502.72774689686656
LTGES1220a,ES00467,ES00063,220,2,f,9.89086,1.9715999999999998,983.1120383760947
LTGES1220b,ES00467,ES00063,220,2,f,9.89086,1.9715999999999998,983.1120383760947
LTGES1221,ES00648,ES00131,220,1,f,6.78755,1.353,491.55601918804734
LTGES1222a,ES00159,ES00649,400,2,f,28.8804,3.5220000000000002,3574.952866822163
LTGES1222b,ES00159,ES00649,400,2,f,28.8804,3.5220000000000002,3574.952866822163
LTGES1223a,ES00649,ES00651,400,2,f,9.7047,1.1835,3574.952866822163
LTGES1223b,ES00649,ES00651,400,2,f,9.7047,1.1835,3574.952866822163
LTGES1224,ES00700,ES00251,400,1,f,8.19426,0.9993000000000001,1787.4764334110814
LTGES1225,ES00813,ES00325,220,1,f,10.03835,2.001,491.55601918804734
LTGES1226a,ES00623,ES00652,220,2,f,9.4815,1.89,983.1120383760947
LTGES1226b,ES00623,ES00652,220,2,f,9.4815,1.89,983.1120383760947
LTGES1227a,ES00652,ES00341,220,2,f,10.00825,1.9949999999999999,983.1120383760947
LTGES1227b,ES00652,ES00341,220,2,f,10.00825,1.9949999999999999,983.1120383760947
LTGES1228a,ES00187,ES00633,220,2,f,0.9180499999999999,0.183,983.1120383760947
LTGES1228b,ES00187,ES00633,220,2,f,0.9180499999999999,0.183,983.1120383760947
LTGES1229,ES00971,ES01172,220,1,f,9.902899999999999,1.9739999999999998,491.55601918804734
LTGES1230a,ES01156,ES01159,220,2,f,0.92708,0.1848,983.1120383760947
LTGES1230b,ES01156,ES01159,220,2,f,0.92708,0.1848,983.1120383760947
LTGES1231,ES00152,ES00134,220,1,f,2.8474600000000003,0.5676,491.55601918804734
LTGES1232a,ES00386,ES01161,400,2,f,15.960479999999999,1.9463999999999997,3574.952866822163
LTGES1232b,ES00386,ES01161,400,2,f,15.960479999999999,1.9463999999999997,3574.952866822163
LTGES1233a,ES00653,ES00080,400,2,f,6.05406,0.7383,3574.952866822163
LTGES1233b,ES00653,ES00080,400,2,f,6.05406,0.7383,3574.952866822163
LTGES1234a,ES00451,ES00626,220,2,f,1.61035,0.32099999999999995,983.1120383760947
LTGES1234b,ES00451,ES00626,220,2,f,1.61035,0.32099999999999995,983.1120383760947
LTGES1235a,ES00451,ES00626,220,2,f,1.61035,0.32099999999999995,983.1120383760947
LTGES1235b,ES00451,ES00626,220,2,f,1.61035,0.32099999999999995,983.1120383760947
LTGES1236a,ES00686,ES00654,220,2,f,1.97757,0.3942,983.1120383760947
LTGES1236b,ES00686,ES00654,220,2,f,1.97757,0.3942,983.1120383760947
LTGES1237,ES01163,ES00330,400,1,f,10.993739999999999,1.3406999999999998,1787.4764334110814
LTGES1238a,ES00514,ES00243,220,2,f,5.120010000000001,1.0206,983.1120383760947
LTGES1238b,ES00514,ES00243,220,2,f,5.120010000000001,1.0206,983.1120383760947
LTGES1239,ES00641,ES00553,400,1,f,3.27426,0.3993,1787.4764334110814
LTGES1240,ES00276,ES01164,400,1,f,5.6457,0.6885,1787.4764334110814
LTGES1241a,ES00136,ES00065,220,2,f,2.65783,0.5297999999999999,983.1120383760947
LTGES1241b,ES00136,ES00065,220,2,f,2.65783,0.5297999999999999,983.1120383760947
LTGES1242,ES00497,ES00194,400,1,f,15.911280000000001,1.9404000000000001,1787.4764334110814
